TIMESTAMP,BABYPEPE_OPEN_PRICE_USD,BABYPEPE_HIGH_PRICE_USD,BABYPEPE_LOW_PRICE_USD,BABYPEPE_CLOSE_PRICE_USD,BABYPEPE_VOLUME_USD,BABYPEPE_DIVIDENDS_USD,BABYPEPE_STOCK_SPLITS_USD
2024-02-21 00:00:00+00:00,,,,0.0,528,0.0,0.0
2024-02-22 00:00:00+00:00,,,,0.0,212,0.0,0.0
2024-02-23 00:00:00+00:00,,,,0.0,3063,0.0,0.0
2024-02-24 00:00:00+00:00,,,,0.0,736,0.0,0.0
2024-02-25 00:00:00+00:00,,,,0.0,2071,0.0,0.0
2024-02-26 00:00:00+00:00,,,,0.0,58157,0.0,0.0
2024-02-27 00:00:00+00:00,,,,0.0,444346,0.0,0.0
2024-02-28 00:00:00+00:00,,,,0.0,1051268,0.0,0.0
2024-02-29 00:00:00+00:00,,,,0.0,236748,0.0,0.0
2024-03-01 00:00:00+00:00,,,,0.0,350795,0.0,0.0
2024-03-02 00:00:00+00:00,,,,0.0,313717,0.0,0.0
2024-03-03 00:00:00+00:00,,,,0.0,495114,0.0,0.0
2024-03-04 00:00:00+00:00,,,,0.0,368353,0.0,0.0
2024-03-05 00:00:00+00:00,,,,0.0,496677,0.0,0.0
2024-03-06 00:00:00+00:00,,,,0.0,80238,0.0,0.0
2024-03-07 00:00:00+00:00,,,,0.0,64539,0.0,0.0
2024-03-08 00:00:00+00:00,,,,0.0,278531,0.0,0.0
2024-03-09 00:00:00+00:00,,,,0.0,192105,0.0,0.0
2024-03-10 00:00:00+00:00,,,,0.0,176531,0.0,0.0
2024-03-11 00:00:00+00:00,,,,0.0,80255,0.0,0.0
2024-03-12 00:00:00+00:00,,,,0.0,80703,0.0,0.0
2024-03-13 00:00:00+00:00,,,,0.0,60386,0.0,0.0
2024-03-14 00:00:00+00:00,,,,0.0,100687,0.0,0.0
2024-03-15 00:00:00+00:00,,,,0.0,74556,0.0,0.0
2024-03-16 00:00:00+00:00,,,,0.0,22014,0.0,0.0
2024-03-17 00:00:00+00:00,,,,0.0,5264,0.0,0.0
2024-03-18 00:00:00+00:00,,,,0.0,6812,0.0,0.0
2024-03-19 00:00:00+00:00,,,,0.0,35164,0.0,0.0
2024-03-20 00:00:00+00:00,,,,0.0,23139,0.0,0.0
2024-03-21 00:00:00+00:00,,,,0.0,13408,0.0,0.0
2024-03-22 00:00:00+00:00,,,,0.0,33422,0.0,0.0
2024-03-23 00:00:00+00:00,,,,0.0,12957,0.0,0.0
2024-03-24 00:00:00+00:00,,,,0.0,2961,0.0,0.0
2024-03-25 00:00:00+00:00,,,,0.0,145520,0.0,0.0
2024-03-26 00:00:00+00:00,,,,0.0,118857,0.0,0.0
2024-03-27 00:00:00+00:00,,,,0.0,25976,0.0,0.0
2024-03-28 00:00:00+00:00,,,,0.0,72281,0.0,0.0
2024-03-29 00:00:00+00:00,,,,0.0,12331,0.0,0.0
2024-03-30 00:00:00+00:00,,,,0.0,97963,0.0,0.0
2024-03-31 00:00:00+00:00,,,,0.0,48608,0.0,0.0
2024-04-01 00:00:00+00:00,,,,0.0,15602,0.0,0.0
2024-04-02 00:00:00+00:00,,,,0.0,2522,0.0,0.0
2024-04-03 00:00:00+00:00,,,,0.0,104904,0.0,0.0
2024-04-04 00:00:00+00:00,,,,0.0,51726,0.0,0.0
2024-04-05 00:00:00+00:00,,,,0.0,9836,0.0,0.0
2024-04-06 00:00:00+00:00,,,,0.0,8707,0.0,0.0
2024-04-07 00:00:00+00:00,,,,0.0,1984,0.0,0.0
