,K,Alpha,Tau,Non_Stationary_IMFs,MSE,IMF_1_P_Val
463,10,2250,0.25,1,1.823508876624944e-05,0.01
464,12,2500,0.1,1,1.8294047625463226e-05,0.01
465,15,2750,0.1,1,1.8311579520361693e-05,0.01
466,10,1750,0.3,1,1.8852323187731753e-05,0.01
467,14,3500,0.15,1,1.8867053137256745e-05,0.01
468,12,2750,0.2,1,1.9102321151472435e-05,0.01
469,14,3500,0.2,1,1.922803344711683e-05,0.01
470,13,3250,0.25,1,1.9792333344453707e-05,0.01
471,15,750,0.0,1,1.979921580630474e-05,0.01
472,14,3000,0.1,1,1.9963575472171908e-05,0.01
473,11,2000,0.1,1,2.0098851670979752e-05,0.01
474,8,1250,0.2,1,2.0199327301932912e-05,0.01
475,12,3000,0.3,1,2.0677991321847126e-05,0.01
476,14,3750,0.3,1,2.108329985537484e-05,0.01
477,15,4000,0.2,1,2.1123902965171744e-05,0.01
478,8,1000,0.3,1,2.1329480499305866e-05,0.01
479,10,1500,0.2,1,2.161189815142513e-05,0.01
480,8,1000,0.1,1,2.1932102033586806e-05,0.01
481,15,3250,0.1,1,2.204570688635747e-05,0.01
482,14,2750,0.05,1,2.2089565606435726e-05,0.01
483,10,2500,0.3,1,2.225938854197557e-05,0.01
484,13,2750,0.15,1,2.235942156777897e-05,0.01
485,11,2750,0.2,1,2.3023676093785984e-05,0.01
486,6,250,0.15,1,2.310721487357482e-05,0.01
487,14,4000,0.15,1,2.316533404942932e-05,0.01
488,15,4750,0.05,1,2.3554507078694127e-05,0.01
